model,label,condition,response,correct
claude-sonnet-4-5,French_horn,mooney,french horn,True
claude-sonnet-4-5,French_horn,mooney_inv,french horn,True
claude-sonnet-4-5,French_horn,degraded_25,french horn,True
claude-sonnet-4-5,French_horn,degraded_50,french horn,True
claude-sonnet-4-5,French_horn,degraded_75,rose,False
claude-sonnet-4-5,French_horn,degraded_90,rose,False
claude-sonnet-4-5,accordion,mooney,belt buckle,False
claude-sonnet-4-5,accordion,mooney_inv,buckle,False
claude-sonnet-4-5,accordion,degraded_25,corrugated fastener,False
claude-sonnet-4-5,accordion,degraded_50,scarf,False
claude-sonnet-4-5,accordion,degraded_75,gauze bandage,False
claude-sonnet-4-5,accordion,degraded_90,tissue box,False
claude-sonnet-4-5,airplane,mooney,airplane,True
claude-sonnet-4-5,airplane,mooney_inv,airplane,True
claude-sonnet-4-5,airplane,degraded_25,airplane,True
claude-sonnet-4-5,airplane,degraded_50,airplane,True
claude-sonnet-4-5,airplane,degraded_75,airplane,True
claude-sonnet-4-5,airplane,degraded_90,starfish,False
claude-sonnet-4-5,alligator,mooney,crocodile,False
claude-sonnet-4-5,alligator,mooney_inv,alligator,True
claude-sonnet-4-5,alligator,degraded_25,alligator,True
claude-sonnet-4-5,alligator,degraded_50,crocodile,False
claude-sonnet-4-5,alligator,degraded_75,alligator,True
claude-sonnet-4-5,alligator,degraded_90,fish,False
claude-sonnet-4-5,anchor,mooney,anchor,True
claude-sonnet-4-5,anchor,mooney_inv,anchor,True
claude-sonnet-4-5,anchor,degraded_25,anchor,True
claude-sonnet-4-5,anchor,degraded_50,anchor,True
claude-sonnet-4-5,anchor,degraded_75,anchor,True
claude-sonnet-4-5,anchor,degraded_90,arrow,False
claude-sonnet-4-5,ant,mooney,ant,True
claude-sonnet-4-5,ant,mooney_inv,ant,True
claude-sonnet-4-5,ant,degraded_25,ant,True
claude-sonnet-4-5,ant,degraded_50,ant,True
claude-sonnet-4-5,ant,degraded_75,ant,True
claude-sonnet-4-5,ant,degraded_90,palm tree,False
claude-sonnet-4-5,apple,mooney,apple,True
claude-sonnet-4-5,apple,mooney_inv,apple,True
claude-sonnet-4-5,apple,degraded_25,apple,True
claude-sonnet-4-5,apple,degraded_50,apple,True
claude-sonnet-4-5,apple,degraded_75,apple,True
claude-sonnet-4-5,apple,degraded_90,apple,True
claude-sonnet-4-5,arm,mooney,foot,False
claude-sonnet-4-5,arm,mooney_inv,earbuds,False
claude-sonnet-4-5,arm,degraded_25,arm,True
claude-sonnet-4-5,arm,degraded_50,leg,False
claude-sonnet-4-5,arm,degraded_75,earthworm,False
claude-sonnet-4-5,arm,degraded_90,sperm,False
claude-sonnet-4-5,arrow,mooney,arrow,True
claude-sonnet-4-5,arrow,mooney_inv,arrow,True
claude-sonnet-4-5,arrow,degraded_25,arrow,True
claude-sonnet-4-5,arrow,degraded_50,arrow,True
claude-sonnet-4-5,arrow,degraded_75,arrow,True
claude-sonnet-4-5,arrow,degraded_90,arrow,True
claude-sonnet-4-5,artichoke,mooney,artichoke,True
claude-sonnet-4-5,artichoke,mooney_inv,hot air balloon,False
claude-sonnet-4-5,artichoke,degraded_25,artichoke,True
claude-sonnet-4-5,artichoke,degraded_50,artichoke,True
claude-sonnet-4-5,artichoke,degraded_75,artichoke,True
claude-sonnet-4-5,artichoke,degraded_90,soccer ball,False
claude-sonnet-4-5,ashtray,mooney,gasket,False
claude-sonnet-4-5,ashtray,mooney_inv,gasket,False
claude-sonnet-4-5,ashtray,degraded_25,ashtray,True
claude-sonnet-4-5,ashtray,degraded_50,ashtray,True
claude-sonnet-4-5,ashtray,degraded_75,soap dish,False
claude-sonnet-4-5,ashtray,degraded_90,teacup and saucer,False
claude-sonnet-4-5,asparagus,mooney,baguette,False
claude-sonnet-4-5,asparagus,mooney_inv,flute,False
claude-sonnet-4-5,asparagus,degraded_25,stick or twig,False
claude-sonnet-4-5,asparagus,degraded_50,baguette,False
claude-sonnet-4-5,asparagus,degraded_75,stick or twig,False
claude-sonnet-4-5,asparagus,degraded_90,dotted line,False
claude-sonnet-4-5,axe,mooney,axe,True
claude-sonnet-4-5,axe,mooney_inv,axe,True
claude-sonnet-4-5,axe,degraded_25,axe,True
claude-sonnet-4-5,axe,degraded_50,axe,True
claude-sonnet-4-5,axe,degraded_75,axe,True
claude-sonnet-4-5,axe,degraded_90,axe,True
claude-sonnet-4-5,baby_carriage,mooney,baby stroller,True
claude-sonnet-4-5,baby_carriage,mooney_inv,baby stroller,True
claude-sonnet-4-5,baby_carriage,degraded_25,baby stroller,True
claude-sonnet-4-5,baby_carriage,degraded_50,baby stroller,True
claude-sonnet-4-5,baby_carriage,degraded_75,baby stroller,True
claude-sonnet-4-5,baby_carriage,degraded_90,skull and crossbones,False
claude-sonnet-4-5,ball,mooney,cricket ball,True
claude-sonnet-4-5,ball,mooney_inv,ball,True
claude-sonnet-4-5,ball,degraded_25,ball,True
claude-sonnet-4-5,ball,degraded_50,baseball,True
claude-sonnet-4-5,ball,degraded_75,volleyball,True
claude-sonnet-4-5,ball,degraded_90,volleyball,True
claude-sonnet-4-5,balloon,mooney,balloon,True
claude-sonnet-4-5,balloon,mooney_inv,magnifying glass,False
claude-sonnet-4-5,balloon,degraded_25,balloon,True
claude-sonnet-4-5,balloon,degraded_50,balloon,True
claude-sonnet-4-5,balloon,degraded_75,balloon,True
claude-sonnet-4-5,balloon,degraded_90,balloon,True
claude-sonnet-4-5,banana,mooney,banana,True
claude-sonnet-4-5,banana,mooney_inv,banana,True
claude-sonnet-4-5,banana,degraded_25,banana,True
claude-sonnet-4-5,banana,degraded_50,banana,True
claude-sonnet-4-5,banana,degraded_75,banana,True
claude-sonnet-4-5,banana,degraded_90,banana,True
claude-sonnet-4-5,barn,mooney,barn,True
claude-sonnet-4-5,barn,mooney_inv,treasure chest,False
claude-sonnet-4-5,barn,degraded_25,barn,True
claude-sonnet-4-5,barn,degraded_50,barn,True
claude-sonnet-4-5,barn,degraded_75,gingerbread house,False
claude-sonnet-4-5,barn,degraded_90,brain,False
claude-sonnet-4-5,barrel,mooney,barrel,True
claude-sonnet-4-5,barrel,mooney_inv,barrel,True
claude-sonnet-4-5,barrel,degraded_25,barrel,True
claude-sonnet-4-5,barrel,degraded_50,barrel,True
claude-sonnet-4-5,barrel,degraded_75,barrel,True
claude-sonnet-4-5,barrel,degraded_90,barrel,True
claude-sonnet-4-5,baseball_bat,mooney,baseball bat,True
claude-sonnet-4-5,baseball_bat,mooney_inv,baseball bat,True
claude-sonnet-4-5,baseball_bat,degraded_25,baseball bat,True
claude-sonnet-4-5,baseball_bat,degraded_50,baseball bat,True
claude-sonnet-4-5,baseball_bat,degraded_75,stick,False
claude-sonnet-4-5,baseball_bat,degraded_90,comet,False
claude-sonnet-4-5,basket,mooney,basket,True
claude-sonnet-4-5,basket,mooney_inv,basket,True
claude-sonnet-4-5,basket,degraded_25,basket,True
claude-sonnet-4-5,basket,degraded_50,basket,True
claude-sonnet-4-5,basket,degraded_75,basket,True
claude-sonnet-4-5,basket,degraded_90,tissue box,False
claude-sonnet-4-5,bear,mooney,bear,True
claude-sonnet-4-5,bear,mooney_inv,bear,True
claude-sonnet-4-5,bear,degraded_25,bear,True
claude-sonnet-4-5,bear,degraded_50,bear,True
claude-sonnet-4-5,bear,degraded_75,bear,True
claude-sonnet-4-5,bear,degraded_90,bear,True
claude-sonnet-4-5,bed,mooney,bed,True
claude-sonnet-4-5,bed,mooney_inv,bed,True
claude-sonnet-4-5,bed,degraded_25,bed,True
claude-sonnet-4-5,bed,degraded_50,bed,True
claude-sonnet-4-5,bed,degraded_75,bed,True
claude-sonnet-4-5,bed,degraded_90,bed,True
claude-sonnet-4-5,bee,mooney,bee,True
claude-sonnet-4-5,bee,mooney_inv,wasp,False
claude-sonnet-4-5,bee,degraded_25,bee,True
claude-sonnet-4-5,bee,degraded_50,bee,True
claude-sonnet-4-5,bee,degraded_75,ant,False
claude-sonnet-4-5,bee,degraded_90,horse,False
claude-sonnet-4-5,beetle,mooney,beetle,True
claude-sonnet-4-5,beetle,mooney_inv,beetle,True
claude-sonnet-4-5,beetle,degraded_25,beetle,True
claude-sonnet-4-5,beetle,degraded_50,fly,False
claude-sonnet-4-5,beetle,degraded_75,horse,False
claude-sonnet-4-5,beetle,degraded_90,spider,False
claude-sonnet-4-5,bell,mooney,bell,True
claude-sonnet-4-5,bell,mooney_inv,bell,True
claude-sonnet-4-5,bell,degraded_25,bell,True
claude-sonnet-4-5,bell,degraded_50,bell,True
claude-sonnet-4-5,bell,degraded_75,bell,True
claude-sonnet-4-5,bell,degraded_90,bell,True
claude-sonnet-4-5,belt,mooney,belt,True
claude-sonnet-4-5,belt,mooney_inv,dog collar,False
claude-sonnet-4-5,belt,degraded_25,belt,True
claude-sonnet-4-5,belt,degraded_50,belt,True
claude-sonnet-4-5,belt,degraded_75,bracelet,False
claude-sonnet-4-5,belt,degraded_90,necklace,False
claude-sonnet-4-5,bicycle,mooney,bicycle,True
claude-sonnet-4-5,bicycle,mooney_inv,bicycle,True
claude-sonnet-4-5,bicycle,degraded_25,bicycle,True
claude-sonnet-4-5,bicycle,degraded_50,bicycle,True
claude-sonnet-4-5,bicycle,degraded_75,bicycle,True
claude-sonnet-4-5,bicycle,degraded_90,bicycle,True
claude-sonnet-4-5,bird,mooney,bird,True
claude-sonnet-4-5,bird,mooney_inv,bird,True
claude-sonnet-4-5,bird,degraded_25,bird,True
claude-sonnet-4-5,bird,degraded_50,bird,True
claude-sonnet-4-5,bird,degraded_75,bird,True
claude-sonnet-4-5,bird,degraded_90,bird,True
claude-sonnet-4-5,blouse,mooney,jacket,False
claude-sonnet-4-5,blouse,mooney_inv,jacket,False
claude-sonnet-4-5,blouse,degraded_25,blouse,True
claude-sonnet-4-5,blouse,degraded_50,jacket,False
claude-sonnet-4-5,blouse,degraded_75,jacket,False
claude-sonnet-4-5,blouse,degraded_90,jacket,False
claude-sonnet-4-5,book,mooney,book,True
claude-sonnet-4-5,book,mooney_inv,book,True
claude-sonnet-4-5,book,degraded_25,book,True
claude-sonnet-4-5,book,degraded_50,book,True
claude-sonnet-4-5,book,degraded_75,box,False
claude-sonnet-4-5,book,degraded_90,shopping bag,False
claude-sonnet-4-5,boot,mooney,boot,True
claude-sonnet-4-5,boot,mooney_inv,boot,True
claude-sonnet-4-5,boot,degraded_25,boot,True
claude-sonnet-4-5,boot,degraded_50,boot,True
claude-sonnet-4-5,boot,degraded_75,cowboy boot,True
claude-sonnet-4-5,boot,degraded_90,cowboy boot,True
claude-sonnet-4-5,bottle,mooney,bottle,True
claude-sonnet-4-5,bottle,mooney_inv,bottle,True
claude-sonnet-4-5,bottle,degraded_25,bottle,True
claude-sonnet-4-5,bottle,degraded_50,bottle,True
claude-sonnet-4-5,bottle,degraded_75,bottle,True
claude-sonnet-4-5,bottle,degraded_90,bottle,True
claude-sonnet-4-5,bow,mooney,bow,True
claude-sonnet-4-5,bow,mooney_inv,bow,True
claude-sonnet-4-5,bow,degraded_25,bow,True
claude-sonnet-4-5,bow,degraded_50,bow,True
claude-sonnet-4-5,bow,degraded_75,bow,True
claude-sonnet-4-5,bow,degraded_90,bow,True
claude-sonnet-4-5,bowl,mooney,bowl,True
claude-sonnet-4-5,bowl,mooney_inv,bowl,True
claude-sonnet-4-5,bowl,degraded_25,bowl,True
claude-sonnet-4-5,bowl,degraded_50,bowl,True
claude-sonnet-4-5,bowl,degraded_75,bowl,True
claude-sonnet-4-5,bowl,degraded_90,teacup,False
claude-sonnet-4-5,box,mooney,box,True
claude-sonnet-4-5,box,mooney_inv,box,True
claude-sonnet-4-5,box,degraded_25,box,True
claude-sonnet-4-5,box,degraded_50,box,True
claude-sonnet-4-5,box,degraded_75,box,True
claude-sonnet-4-5,box,degraded_90,box,True
claude-sonnet-4-5,bread,mooney,bread loaf,True
claude-sonnet-4-5,bread,mooney_inv,bread loaf,True
claude-sonnet-4-5,bread,degraded_25,bread loaf,True
claude-sonnet-4-5,bread,degraded_50,bread loaf,True
claude-sonnet-4-5,bread,degraded_75,bread loaf,True
claude-sonnet-4-5,bread,degraded_90,bread loaf,True
claude-sonnet-4-5,broom,mooney,spatula,False
claude-sonnet-4-5,broom,mooney_inv,spatula,False
claude-sonnet-4-5,broom,degraded_25,shovel,False
claude-sonnet-4-5,broom,degraded_50,spatula,False
claude-sonnet-4-5,broom,degraded_75,spatula,False
claude-sonnet-4-5,broom,degraded_90,guitar,False
claude-sonnet-4-5,brush,mooney,brush,True
claude-sonnet-4-5,brush,mooney_inv,brush,True
claude-sonnet-4-5,brush,degraded_25,brush,True
claude-sonnet-4-5,brush,degraded_50,scrub brush,True
claude-sonnet-4-5,brush,degraded_75,paintbrush,True
claude-sonnet-4-5,brush,degraded_90,toothbrush,True
claude-sonnet-4-5,bus,mooney,bus,True
claude-sonnet-4-5,bus,mooney_inv,bus,True
claude-sonnet-4-5,bus,degraded_25,bus,True
claude-sonnet-4-5,bus,degraded_50,volkswagen bus,True
claude-sonnet-4-5,bus,degraded_75,bus,True
claude-sonnet-4-5,bus,degraded_90,bus,True
claude-sonnet-4-5,butterfly,mooney,butterfly,True
claude-sonnet-4-5,butterfly,mooney_inv,butterfly,True
claude-sonnet-4-5,butterfly,degraded_25,butterfly,True
claude-sonnet-4-5,butterfly,degraded_50,butterfly,True
claude-sonnet-4-5,butterfly,degraded_75,butterfly,True
claude-sonnet-4-5,butterfly,degraded_90,butterfly,True
claude-sonnet-4-5,button,mooney,button,True
claude-sonnet-4-5,button,mooney_inv,button,True
claude-sonnet-4-5,button,degraded_25,button,True
claude-sonnet-4-5,button,degraded_50,button,True
claude-sonnet-4-5,button,degraded_75,button,True
claude-sonnet-4-5,button,degraded_90,coin,False
claude-sonnet-4-5,cake,mooney,layered cake,True
claude-sonnet-4-5,cake,mooney_inv,layer cake,True
claude-sonnet-4-5,cake,degraded_25,layer cake,True
claude-sonnet-4-5,cake,degraded_50,layer cake,True
claude-sonnet-4-5,cake,degraded_75,layer cake,True
claude-sonnet-4-5,cake,degraded_90,bucket hat,False
claude-sonnet-4-5,camel,mooney,camel,True
claude-sonnet-4-5,camel,mooney_inv,camel,True
claude-sonnet-4-5,camel,degraded_25,camel,True
claude-sonnet-4-5,camel,degraded_50,camel,True
claude-sonnet-4-5,camel,degraded_75,camel,True
claude-sonnet-4-5,camel,degraded_90,camel,True
claude-sonnet-4-5,candle,mooney,candle,True
claude-sonnet-4-5,candle,mooney_inv,candle,True
claude-sonnet-4-5,candle,degraded_25,candle,True
claude-sonnet-4-5,candle,degraded_50,candle,True
claude-sonnet-4-5,candle,degraded_75,candle,True
claude-sonnet-4-5,candle,degraded_90,candle,True
claude-sonnet-4-5,cannon,mooney,cannon,True
claude-sonnet-4-5,cannon,mooney_inv,cannon,True
claude-sonnet-4-5,cannon,degraded_25,cannon,True
claude-sonnet-4-5,cannon,degraded_50,cannon,True
claude-sonnet-4-5,cannon,degraded_75,cannon,True
claude-sonnet-4-5,cannon,degraded_90,bird,False
claude-sonnet-4-5,cap,mooney,flat cap,True
claude-sonnet-4-5,cap,mooney_inv,mussel shell,False
claude-sonnet-4-5,cap,degraded_25,flat cap,True
claude-sonnet-4-5,cap,degraded_50,mussel shell,False
claude-sonnet-4-5,cap,degraded_75,necklace,False
claude-sonnet-4-5,cap,degraded_90,shell,False
claude-sonnet-4-5,car,mooney,police car,True
claude-sonnet-4-5,car,mooney_inv,car,True
claude-sonnet-4-5,car,degraded_25,car,True
claude-sonnet-4-5,car,degraded_50,car,True
claude-sonnet-4-5,car,degraded_75,car,True
claude-sonnet-4-5,car,degraded_90,race car,True
claude-sonnet-4-5,carrot,mooney,carrot,True
claude-sonnet-4-5,carrot,mooney_inv,carrot,True
claude-sonnet-4-5,carrot,degraded_25,carrot,True
claude-sonnet-4-5,carrot,degraded_50,carrot,True
claude-sonnet-4-5,carrot,degraded_75,carrot,True
claude-sonnet-4-5,carrot,degraded_90,celery,False
claude-sonnet-4-5,cat,mooney,cat,True
claude-sonnet-4-5,cat,mooney_inv,cat,True
claude-sonnet-4-5,cat,degraded_25,cat,True
claude-sonnet-4-5,cat,degraded_50,cat,True
claude-sonnet-4-5,cat,degraded_75,cat,True
claude-sonnet-4-5,cat,degraded_90,rabbit,False
claude-sonnet-4-5,caterpillar,mooney,caterpillar,True
claude-sonnet-4-5,caterpillar,mooney_inv,caterpillar,True
claude-sonnet-4-5,caterpillar,degraded_25,caterpillar,True
claude-sonnet-4-5,caterpillar,degraded_50,caterpillar,True
claude-sonnet-4-5,caterpillar,degraded_75,tiara,False
claude-sonnet-4-5,caterpillar,degraded_90,caterpillar,True
claude-sonnet-4-5,celery,mooney,celery,True
claude-sonnet-4-5,celery,mooney_inv,celery,True
claude-sonnet-4-5,celery,degraded_25,celery,True
claude-sonnet-4-5,celery,degraded_50,celery,True
claude-sonnet-4-5,celery,degraded_75,celery,True
claude-sonnet-4-5,celery,degraded_90,wrench,False
claude-sonnet-4-5,chain,mooney,chain,True
claude-sonnet-4-5,chain,mooney_inv,chain link,True
claude-sonnet-4-5,chain,degraded_25,chain,True
claude-sonnet-4-5,chain,degraded_50,chain,True
claude-sonnet-4-5,chain,degraded_75,banana,False
claude-sonnet-4-5,chain,degraded_90,banana,False
claude-sonnet-4-5,chair,mooney,chair,True
claude-sonnet-4-5,chair,mooney_inv,chair,True
claude-sonnet-4-5,chair,degraded_25,chair,True
claude-sonnet-4-5,chair,degraded_50,chair,True
claude-sonnet-4-5,chair,degraded_75,chair,True
claude-sonnet-4-5,chair,degraded_90,chair,True
claude-sonnet-4-5,cherry,mooney,cherry,True
claude-sonnet-4-5,cherry,mooney_inv,cherry,True
claude-sonnet-4-5,cherry,degraded_25,cherry,True
claude-sonnet-4-5,cherry,degraded_50,cherry,True
claude-sonnet-4-5,cherry,degraded_75,cherry,True
claude-sonnet-4-5,cherry,degraded_90,cherry,True
claude-sonnet-4-5,chicken,mooney,chicken,True
claude-sonnet-4-5,chicken,mooney_inv,chicken,True
claude-sonnet-4-5,chicken,degraded_25,chicken,True
claude-sonnet-4-5,chicken,degraded_50,chicken,True
claude-sonnet-4-5,chicken,degraded_75,chicken,True
claude-sonnet-4-5,chicken,degraded_90,chicken,True
claude-sonnet-4-5,chisel,mooney,screwdriver,False
claude-sonnet-4-5,chisel,mooney_inv,screwdriver,False
claude-sonnet-4-5,chisel,degraded_25,screwdriver,False
claude-sonnet-4-5,chisel,degraded_50,hammer,False
