model,label,condition,response,correct
claude-sonnet-4-5,frog,mooney,rat,False
claude-sonnet-4-5,frog,mooney_inv,polar bear,False
claude-sonnet-4-5,frog,degraded_25,frog,True
claude-sonnet-4-5,frog,degraded_50,frog,True
claude-sonnet-4-5,frog,degraded_75,frog,True
claude-sonnet-4-5,frog,degraded_90,frog,True
claude-sonnet-4-5,frying_pan,mooney,parentheses,False
claude-sonnet-4-5,frying_pan,mooney_inv,quotation marks,False
claude-sonnet-4-5,frying_pan,degraded_25,wristband,False
claude-sonnet-4-5,frying_pan,degraded_50,frying pan,True
claude-sonnet-4-5,frying_pan,degraded_75,mortar and pestle,False
claude-sonnet-4-5,frying_pan,degraded_90,mortar and pestle,False
claude-sonnet-4-5,garbage_can,mooney,mug,False
claude-sonnet-4-5,garbage_can,mooney_inv,beer glass,False
claude-sonnet-4-5,garbage_can,degraded_25,trash can,True
claude-sonnet-4-5,garbage_can,degraded_50,trash can,True
claude-sonnet-4-5,garbage_can,degraded_75,trash can,True
claude-sonnet-4-5,garbage_can,degraded_90,canister,False
claude-sonnet-4-5,giraffe,mooney,rabbit,False
claude-sonnet-4-5,giraffe,mooney_inv,dog,False
claude-sonnet-4-5,giraffe,degraded_25,giraffe,True
claude-sonnet-4-5,giraffe,degraded_50,giraffe,True
claude-sonnet-4-5,giraffe,degraded_75,giraffe,True
claude-sonnet-4-5,giraffe,degraded_90,giraffe,True
claude-sonnet-4-5,glass,mooney,comma,False
claude-sonnet-4-5,glass,mooney_inv,nike swoosh logo,False
claude-sonnet-4-5,glass,degraded_25,cylinder,False
claude-sonnet-4-5,glass,degraded_50,cylinder,False
claude-sonnet-4-5,glass,degraded_75,cylinder,False
claude-sonnet-4-5,glass,degraded_90,battery,False
claude-sonnet-4-5,glasses,mooney,checkmarks,False
claude-sonnet-4-5,glasses,mooney_inv,nike swoosh logo,False
claude-sonnet-4-5,glasses,degraded_25,eyeglasses,True
claude-sonnet-4-5,glasses,degraded_50,eyeglasses,True
claude-sonnet-4-5,glasses,degraded_75,glasses,True
claude-sonnet-4-5,glasses,degraded_90,sunglasses,True
claude-sonnet-4-5,glove,mooney,smile,False
claude-sonnet-4-5,glove,mooney_inv,banana,False
claude-sonnet-4-5,glove,degraded_25,glove,True
claude-sonnet-4-5,glove,degraded_50,glove,True
claude-sonnet-4-5,glove,degraded_75,glove,True
claude-sonnet-4-5,glove,degraded_90,glove,True
claude-sonnet-4-5,goat,mooney,galapagos islands,False
claude-sonnet-4-5,goat,mooney_inv,animal hide,False
claude-sonnet-4-5,goat,degraded_25,goat,True
claude-sonnet-4-5,goat,degraded_50,goat,True
claude-sonnet-4-5,goat,degraded_75,goat,True
claude-sonnet-4-5,goat,degraded_90,goat,True
claude-sonnet-4-5,gorilla,mooney,gorilla,True
claude-sonnet-4-5,gorilla,mooney_inv,gorilla,True
claude-sonnet-4-5,gorilla,degraded_25,gorilla,True
claude-sonnet-4-5,gorilla,degraded_50,gorilla,True
claude-sonnet-4-5,gorilla,degraded_75,gorilla,True
claude-sonnet-4-5,gorilla,degraded_90,gorilla,True
claude-sonnet-4-5,grapes,mooney,yoda,False
claude-sonnet-4-5,grapes,mooney_inv,animal hide,False
claude-sonnet-4-5,grapes,degraded_25,lettuce,False
claude-sonnet-4-5,grapes,degraded_50,yoda,False
claude-sonnet-4-5,grapes,degraded_75,turtle,False
claude-sonnet-4-5,grapes,degraded_90,ginger root,False
claude-sonnet-4-5,grasshopper,mooney,islands,False
claude-sonnet-4-5,grasshopper,mooney_inv,virgin islands,False
claude-sonnet-4-5,grasshopper,degraded_25,"grasshopper human: these images are frames from a video. list the video's descriptions in english.
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>
<image>",True
